IDS,root,Reply,meta reply
6, @CNNChile <COREF CAD=1 IDE=1>Autor</COREF>  de <COREF CAD=2 IDE=2>bombazo</COREF>  en <COREF CAD=3IDE=3>Los Domínicos y Escuela Militar</COREF>  en 2014 fue <COREF CAD=4 IDE=4>condenado </COREF> a 23 años de <COREF CAD=5 IDE=5>cárcel </COREF> http://bit.ly/2tVuP1a  #CNNChile,,
6,," @CamiloMilom Biennnn. Vivimos en democracia, debemos <COREF CAD=4 IDE=1>condenar </COREF>cualquier acto de terrorismo.",
6,," @PABLOQUIONESMOR Despues de años <COREF CAD=1 IDE=1> es</COREF> <COREF CAD=4 IDE=2>condenado</COREF>..y el señor piñera quiere un pais desarrollado..la ley es floja y los que trabajan en este sistema 
¡aun mas!...",
7, @CNNChile <COREF CAD=1 IDE=1>Fiscalía</COREF>  pide 21 años de <COREF CAD=2 IDE=2>cárcel</COREF>  para <COREF CAD=3 IDE=3>Jaime Orpis</COREF>  http://bit.ly/2FLJqNW  #CNNChile,,
7,," @p_apofa1 Es lo justo, yo soy a fin a la UDI, pero la corrupción es algo que debe condenarse como sea.",
7,,, @letybenja Ojo que si esto sigue así te quedas sin partido...🤔
7,, @luisvlopez1957 La justicia debe ser pareja para todos..y nadie debe estar por sobre ella..,
7,, @Eduardo36947077 veremos si algún ladrón con corbata 👔 queda <COREF CAD=2 IDE=1>preso</COREF>,
7,,," @Marta67884359 Convencida que hay que aplicar justicia, creo que se les está pasando la mano considerando que otros en causas similares han quedado impunes."
8,"  @CNNChile AHORA - <COREF CAD=1 IDE=1>Hugo Gutiérrez</COREF> : ""<COREF CAD=1 IDE=2>Yo</COREF>  creo que hay una <COREF CAD=2 IDE=3>decisión política</COREF>  que sin duda tiene ribetes ideológicos. Había una confianza política sobre este <COREF CAD=3 IDE=4>señor Soto</COREF> . <COREF CAD=4 IDE=5>Piñera</COREF>  nunca debió haber elegido a <COREF CAD=3 IDE=6>Hermes Soto</COREF>  como <COREF CAD=5 IDE=7>General Director de Carabineros</COREF> "" #CNNChile",,
8,," @carmen_lazo ¿Y <COREF CAD=1 IDE=1>el señor Gutiérrez </COREF> no dice nada de la ""comandante Claudia""? Con ese historial tampoco podría ocupar un cargo público de alta responsabiliad.",
8,," @manolotopo Que hincha pelotas este weon, preocúpate de cosas más importante que por lo que hizo, ademas el que esté libre de pecado que tire la primera piedra, (arranca weon ,jajajaja)",
8,, @barnecheacastro Que <COREF CAD=1 IDE=1>este hombre</COREF> infumable critique <COREF CAD=2 IDE=2>la decisión</COREF> significa que <COREF CAD=3 IDE=3>Soto</COREF> es el hombre apropiado para <COREF CAD=5 IDE=4>el cargo</COREF>.,
8,, @Pumillahue7 <COREF CAD=1 IDE=1>Señor Gutierez</COREF> preocupese de ud mismo resentido no deja ser feliz a nadien no deja gobernar  no creo que elija de nuevo el.pueblo gracias a este gobierno tendremos empleo preguntate que has hecho por chile nada deja tranquilo al <COREF CAD=5 IDE=2>general director  de carabineros</COREF>  eres el diablo,
8,, @audiconltda Yo creo que al que nunca debieran haber elegido diputado es a <COREF CAD=1 IDE=1> Usted.</COREF>,
9,"  @CNNChile AHORA - <COREF CAD=1 IDE=1>Felipe Larraín</COREF>: ""Sin <COREF CAD=2 IDE=2>crecimiento económico</COREF> no hay <COREF CAD=3 IDE=3>progreso social</COREF>""",,
9,," @waldelpac Totalmente de acuerdo,  pero el gran problema es <COREF CAD=4 IDE=1>como se reparte</COREF> ese <COREF CAD=2 IDE=2>crecimiento</COREF>, cuando la economía crecía al 5 o 6% tampoco era el momento para <COREF CAD=3 IDE=3>mejoras sociales</COREF> para tidos los chilenos.",
9,,, @mbarbozaz Justamente <COREF CAD=4 IDE=1>en eso</COREF> tenemos que enfocarnos. <COREF CAD=4 IDE=2>Ahí</COREF> tenemos que focalizar los esfuerzos y en un mayor control.
9,, @marisolmf Pero ya sabemos que su  <COREF CAD=2 IDE=1>crecimiento económico</COREF> es para los mismos bolsillos.,
9,,," @martin_ror Sin esos 4 años <COREF CAD=2 IDE=1>creciendo</COREF> al 5% cero posibilidad de haber tenido gratuidad. Sin duda en el gob de bachelet hubo mas <COREF CAD=3 IDE=2>avance social </COREF>pero economicamente muy irresponsable, ojala este gob crezca y además siga <COREF CAD=3 IDE=3>avanzando en politicas sociales</COREF>"
9,, @bvera1993 Y con el COREF CAD=2 IDE=2>crecimiento</COREF> del 5% que <COREF CAD=3 IDE=3>avance social</COREF> hubo ?,
9,, @negrozkar <COREF CAD=1 IDE=1>Está siendo</COREF> claro. Después no nos quejemos. <COREF CAD=1 IDE=1>Este gobierno</COREF> viene por la última tajada de la torta,
10, @TVN <COREF CAD=1 IDE=1>Chile</COREF> es el <COREF CAD=1 IDE=2>país</COREF> más <COREF CAD=2 IDE=3>feliz</COREF> de <COREF CAD=3 IDE=4>Sudamérica</COREF> según el <COREF CAD=4 IDE=5>informe</COREF> presentado por la <COREF CAD=5 IDE=6>ONU</COREF> ,,
10,," @el_puri6666 Porque yo no lo soy si veo maltrato animal, corrupcion,portonazos, femicidios, sueldos miserables, gente estafada por weones k ni pisan la carcel, cagandolos con colusion del confort , los pollos, las farmacias, y nadie hace nada, o sea. De que <COREF CAD=1 IDE=1>pais</COREF> <COREF CAD=2 IDE=2>feliz</COREF> me hablan???",
10,," @melisanq Creo que sentirse <COREF CAD=2 IDE=1>feliz</COREF>...  tmbn es una opción, no¿?   Ya q eso es muy personal. Puedo lamentarme por el que sufre al lado Empatizar y tratar de ayudar lo mas q puedo. Pero no es mi sufrimiento. Puedo sentirme  mal, idiota x lo malo de <COREF CAD=1 IDE=1>este país</COREF>. Pero eso no me quita la felicidad",
11, @24HorasTVN ¿Por qué<COREF CAD=1 IDE=1> destruyen</COREF><COREF CAD=2 IDE=2> bicicletas</COREF> <COREF CAD=3 IDE=3>gratuitas</COREF>? #24HorasCentral Sigue la señal en vivo ,,
11,," @Mane_Matta Xq son de una genereacion a la que solo se le habló de derechos y libertades, pero nada de deberes, respeto y responsabilidades.",
12," @Tele13_Radio «Yo no me voy a oponer a que un<COREF CAD=1 IDE=1> interno</COREF> con una<COREF CAD=2 IDE=2> enfermedad terminal</COREF> pueda cumplir su <COREF CAD=3 IDE=3>condena</COREF> en <COREF CAD=4 IDE=4>arresto domiciliario</COREF>. Aunque sea el asesino de mi padre», dice<COREF CAD=5 IDE=5> Tucapel Jiménez</COREF> en .
",,
12,," @GMOKOV Gran muestra de humanidad, tolerancia y perdón de<COREF CAD=5 IDE=1>
 Tucapel Jiménez</COREF>. Un claro mensaje de avance y construcción social para nuestro País!... se nota que <COREF CAD=5 IDE=1>El </COREF>si es un agradecido, de todo el dinero que le regalamos como exonerado político. Bien Tucapel!",
12,,, @josetor55881014 EN OTRAS PALABRAS. QUE BIEN POR LOS CRIMENES. UN PREMIO A LOS ASESINOS. BURLA A LA JUSTICIA.
12,," @GsrKpz Esta es la manera en q los políticos deben recuperar la confianza del pueblo. No comparto las ideas políticas de<COREF CAD=5 IDE=1>
 Jiménez</COREF>, pero, <COREF CAD=5 IDE=2>su</COREF> declaración lo coloca en un pedestal q se debe reconocer, valorar, respetar y enaltecer. Ojalá los políticos aprendan de<COREF CAD=6 IDE=3> él</COREF> en este notable atributo.",
12,, @Nubechilena Mientras el odio se siga traspasando de generacion en generacion Nunca tendremos un pais avanzando .,
12,,, @LilyArenasDaz1 Odio???que torturen a una mujer embarazada es tener odio???si le pasa eso a tu hija qué harias???uhmmmm
12,," @morales_eugenio <COREF CAD=5 IDE=1>Una persona </COREF>que sufrió directamente los efectos del pasado, sin embargo aún así, está dispuesto a mostrar su voluntad que muchos otros (que ni siquiera fueron afectados) no ceden en su sed de venganza hacia quienes lucharon y extirparon el comunismo. Bién <COREF CAD=5 IDE=2>Tucapel </COREF>, dé la lección.",
12,,, @marcross_m La hipocresia de este pais es tan impresionante. <COREF CAD=3 IDE=1>Encarcelamos</COREF> a gente por no Pagar un parte por vender comida en la calle por consumir marihuana por vender peliculas por comprar un telefono robado Pero qeremos libertad a quienes mataron violaron  y torturaron a gente inocente
12,, @El__Mota <COREF CAD=5 IDE=1>Tu</COREF> decisión y pensamiento.... te debiera obligar SOLO a <COREF CAD=5 IDE=2>ti</COREF>..... pero el único gran problema.... es q estas ahí.... porque hay gente q votó x <COREF CAD=5 IDE=3>ti</COREF>..  representas a mucha gente....,
12,,," @sste7 Sabes?, creo q precisamente, está yendo más allá de <COREF CAD=5 IDE=1>él </COREF> y de su familia; creo q lo que hace <COREF CAD=5 IDE=2>@tucapeljimenez</COREF> es de una nobleza enorme, está mirando por sobre todo, al ser humano, aún con esas terribles y mortíferas sombras y, probablemente, lo hace a pesar de<COREF CAD=5 IDE=3> él</COREF> mismo y <COREF CAD=5 IDE=4>su</COREF> dolor"
12,, @josetor55881014 No tiene derecho de imponernos al pueblo la justicia en la medida de lo posible. Ni perdon ni olvido.,
12,,, @Juanconguitarra El pueblo es un mínimo porcentaje que siguen pensando como Ud. Deberían tratar de asemejar sus pensamientos como el del <COREF CAD=5 IDE=1>Sr. Tuc. Jiménez</COREF> y dar vuelta una página triste y tragica de nuestra historia. Avancemos todos hacia un futuro mejor. Slds
12,," @283025juntas Que pena señor <COREF CAD=5 IDE=1>Tucapel</COREF>, lo creia mas consecuente, mientras los demas luchan por que sigan <COREF CAD=3 IDE=2>encarcelados</COREF>en recuerdo de su familiares <COREF CAD=5 IDE=3>usted</COREF> no importa.pense que amaba a su padre o solo ocupa el apellido para figurar.
",
12,,, @agrojorge Respetemos las formas de pensar distinto
12,," @manueltrigo Me alegraste el día <COREF CAD=5 IDE=1>Tucapell</COREF>, si tengo que ir a darte el voto a Chuchunco, lo haría. Personas con posturas como la tuya hacen que esta vida valga la pena.",
12,," @lafrontera_  Esto no es personal <COREF CAD=5 IDE=1> diputado</COREF>. Es establecer que las leyes se cumplan para todos. Así se les establece límites a los psicopatas, no hay otra forma.",
12,, @Estanquero3 Me sorprende gratamente que tenga declaraciones de este tipo. Casi creo que los tiempos mejores realmente han llegado.,
12,," @Candy97048510 Este es Pensamiento y Acciones que esperàmos de un   Politico que Represente y haga Leyes para Chile!
Habla bien de <COREF CAD=5 IDE=1>ud</COREF> <COREF CAD=5 IDE=1>Tucapel</COREF>; Dios <COREF CAD=5 IDE=2>le</COREF> Bendiga.🙏",
12,,," @luistapialazo Plenamente de acuerdo, un ejemplo de  que varios podrían seguir. Evolucionar y perdonar requiere coraje y madurez, lo felicito sinceramente <COREF CAD=5 IDE=1> Diputado</COREF> ."
12,," @MORODRIGUEZA Esa es la única verdad: Yo respeto los derechos humanos incluso de un violador de los DDHH, aunque duela. Muy bien, <COREF CAD=5 IDE=1>Tucapel</COREF>, digno hijo de su padre.",
12,,," @bespierre Estos no son problemas personales. Son crímenes de lesa humanidad. No se trata de delincuentes, se trata de monstruos."
12,, @Tapalca54 Genocidas tienen que morir en la cárcel .,
12,,," @Comodoro1945 Fuera de tiesto, que lección  te da el <COREF CAD=5 IDE=1>diputado</COREF> cretino!!"
12,," @Yeyagonzalez6 Que bien habla, a pesar de su indescriptible dolor, <COREF CAD=5 IDE=1>es una persona</COREF> sin resentimiento",
12,," @HernanRiquelmec Eso habla bien, de <COREF CAD=5 IDE=1> una persona </COREF>que conoce el significado de derechos humanos, aun muy a mi pesar esos malditos asesinos, también tienen derecho, hola muy bien de <COREF CAD=5 IDE=2> ud.</COREF>  <COREF CAD=5 IDE=3> Señor</COREF>",
12,, @piturrietav Nobleza y compasión que se valoran <COREF CAD=5 IDE=1> diputado</COREF>. Siendo su padre víctima del atropello a los DDHH..,
12,,, @Pia8020 Increíble su grandeza. Me emocioné.
12,, @A_Rehbein Grande <COREF CAD=5 IDE=1> Tucapel</COREF>,
12,,," @LEOPARDO_WN POR FÍN <COREF CAD=5 IDE=1>ALGUIEN </COREF>QUE RAZONA, ASÍ SE RECONSTRUYE UN PAÍS Y SE ESCRIBE LA HISTORIA.
SALUDOS <COREF CAD=5 IDE=1> SR. JIMENEZ</COREF>"
12,," @superanonimos Se valora, se agradece y se bendice al <COREF CAD=5 IDE=1>hombre</COREF> que es capaz de perdonar y olvidar a quienes le hicieron daño. Devolver perdón, misericordia y bondad es lo que necesitamos como nación para avanzar y no quedar estancados en el odio y la revancha por la revancha. Mil Gracias <COREF CAD=5 IDE=2>Tucapel</COREF>.",
12,,, @figaMir <COREF CAD=5 IDE=1>Tucapel </COREF>no está perdonando ni está olvidando.Está dando una lección de humanidad a la sociedad y principalmente a los asesinos de su padre.
12,," @Adrian12373 Si este <COREF CAD=5 IDE=1>señor</COREF> fuera presidente de chile con su actitud a Los asesinos de su padre, me imagino que a los ladrones con corbata que roban todos los días al pueblo los manda de vacaciones al Caribe en castigo, lo justo es justo, deben pagar hasta el final estos asesinos.",
12,,, @Andradecareraja No entendiste nada tonto weon
12,, @MonicaAbrego <COREF CAD=5 IDE=1>Este hombre</COREF> siempre ha llamado la.atención porque en <COREF CAD=5 IDE=2>él</COREF> no hay odio. En los.programas y debates soemore mostró su opinión pweo.sin ese resentimiento característico de los PC.,
12,,," @rjarpa Resentidos cuando perdieron el NO, resentidos al ver como robo pin8, resentidos al permitir union civil de homosexuales, al aprobarse el aborto, al tener condenados por ddhh, al no haber hijos ilegítimos, al destapar el abuso de curas de la Iglesia, y un largo etc."
13," @adnradiochile <COREF CAD=1 IDE=1>Gerardo Varela</COREF>, <COREF CAD=1 IDE=2>ministro de Educación</COREF>: ""El tiempo de las <COREF CAD=2 IDE=3>marchas</COREF> ya pasó"" http://bit.ly/2GDt4Z7 ",,
13,, @COPAYAPU46 El <COREF CAD=1 IDE=1>ministro de Educación</COREF> y el actual gobierno se equivocan e ignoran premeditadamente a los jóvenes. Nadie puede reprimir los sentimientos de libertad y de justicia. Las <COREF CAD=2 IDE=2>marchas</COREF> se justifican cuando no hay respuesta a demandas sociales que se estiman legítimas e irrenunciables,
13,," @Arturo59796007 Aunque pareciera que hacer <COREF CAD=2 IDE=1>marchas</COREF> se convirtió en algo de moda y así le gusten al poder ,no son eso y no puede nadie decretar que ya pasaron,lo que si debiera pasar de moda es la onda de hacer marchas que no le hacen nada a nadie,algo súper entrete súper cool, pero mudas",
13,," @Ivanreyes1963 Que equivocado que está,,,, ni se imagina lo potentes que pueden ser las  <COREF CAD=2 IDE=1>marchas</COREF> hoy",
13,," @Eduardespejo <COREF CAD=1 IDE=1> Eres</COREF> harto weoon"".  Por dichos como eso queremos educación  de Calidad !!!!!..ahh y gratuita.",
13,,, @Palmator Se nota que necesitas educación. Pero gratuita no.
13,," @Ptrcm1 @Mineduc @GerardoVarela_A mientras la educación siga siendo comprendida como un bien de consumo por el cual hay que pagar y/o endeudarse, los y las estudiantes seguiremos <COREF CAD=2 IDE=1>movilizados</COREF> hasta que sea gratuita, universal y de calidad.",
13,,, @q_timxta No se puede lindo ta veras
13,," @ccarvajal_c Las <COREF CAD=2 IDE=1>marchas</COREF>  seguirán.Recuerde que hay miles de estudiantes que quieren todo gratis y además las necesidad imparable de delinquir, romper y dañar la vía publica y los negocios de la gente que trabaja, dirigidos por un grupo minoritario que obtendrán todos los beneficios.",
13,,," @fco_panchoplop Creo que es medio y no fin, cuando no te escuchan haces <COREF CAD=2 IDE=1>escándalo</COREF>, punto..."
13,," @LuisArevaloTapi Estos weones creen que el país es una empresa y que, cómo están en el gobierno,  Lo van a manejar como una corporación comercial.",
13,,, @alvaro_chacama Ssría lo ideal poh mijo. La empresas las manejan privados por lo tanto si la empresa pierde ellos tambien perderian. En cambio ahora los burocratas y todos los politicos se puedrn mandar cagas y los aue oagamos somos nosotros. Ej: transantiago
13,," @feyherrera Creo que la entrevista no dice eso, los titulares buscan incitar a la división , creo que al leer la entrevista dijo bastante cosas coherentes y aterrizadas, no solo esto que lo argumento la pérdida que se sufre por las marchas ...",
14, @biobio <COREF CAD=1 IDE=1>Trabajadores públicos</COREF> denuncian <COREF CAD=2 IDE=2>despidos masivos</COREF> tras <COREF CAD=3 IDE=3>cambio de Gobierno</COREF> http://rbb.cl/jn6m ,,
14,, @aru_weke Y cual es la novedad?? Siempre en cada <COREF CAD=3 IDE=1>cambio de gobierno</COREF>  es lo mismo. 🙄🙄🙄,
14,, @ValitaLilloBe En todo <COREF CAD=3 IDE=1>cambio de gobierno</COREF>  pasa. Ha pasado siempre. Ahora vienen a quejarse??? Y cuando asumió @mbachelet  alguien dijo algo?,
14,," @mauricioquicav Eso es lo qué pasa cuando hay <COREF CAD=3 IDE=1>cambios</COREF>, es la gracia de la democracia , <COREF CAD=1 IDE=1>señores</COREF> acepten",
14,, @harrysmol Esto es sin llorar wueones...se <COREF CAD=1 IDE=1>les</COREF> acabo la siesta pagada durante 4 años...trabajen como todo el resto no mas...,
14,,," @Jacquesole Desubicado y falta de respeto tu comentario, yo soy <COREF CAD=1 IDE=1>funcionaria publica </COREF>20 años y nunca he dormido siesta......."
14,," @HaydeeBazaes No creo que <COREF CAD=2 IDE=1>sean</COREF> tan <COREF CAD=2 IDE=2>masivo</COREF>,pero si no aportan nada en beneficio de sus usuarios y solamente están por favores políticos consideró que hay que <COREF CAD=2 IDE=3>limpiar</COREF> la administración pública y estoy segura que sería mucho más eficiente y eficaz",
14,, @Coltpedroyahoo1 Yo soy <COREF CAD=1 IDE=1>trabajador publico</COREF> y los que estan <COREF CAD=2 IDE=2>cancelando</COREF> son puros pitutos politicos que no hacen nada y ganan millones.,
14,,, @JSLavinV Muy bien l que quede la gente  trabajadora
14,," @jaicnedde Será por que no trabajaban en realidad, solo apitutados políticos cobrando favores.",
14,,," @Caraliduar Lo mismo ahora, tb apitutados que solo cobrarán"
14,," @CostMardones Y qué esperaban? Obvio que pasa eso, lo mismo pasó cuando llegó Bachelet. Ojalá despidan a todos los operadores políticos, y a los flojos que miente sobre los despidos!",
14,,, @rupanqui Empezó @tere_marinovic la lucha por los despidos. ¿y qué esperaban?¿seguir sentaditos a costa del Estado?. Fuera todos los operadores contratados por Bachelet. Respeto a la carrera funcionaria.
14,," @Octavio22719107 Eso debe ser mentira. En las promesas para que votaran por Piñera, estaba el que todo continuaría igual.
Si no fuera así, háganle la casa de putas por chuecos , mentirosos, y para que aprendan de una vez por todas. Simple, paralizarse en todo Chile.",
14,,," @antonioamenabar Otro zurdo flojo q solo sabe de paros y llantos,anda a trabajar como todos flojo!!!"
14,," @cmmc116 Es lo que corresponde, no se trata de celebrar que alguien quedé sin pega, pero es sabido que Bachelet rellenó el estado con puestos que no se requieren.",
14,,," @Gus_Echeverria Disculpe mi ignorancia, pero con que puestos fue el relleno??"
14,," @nroccab Los <COREF CAD=2 IDE=1> despidos masivos</COREF> se producen cuando existen empleos falsos, en exceso, falta de eficiencia...no por mero gusto.",
14,, @fran_cgl No veo oleadas de <COREF CAD=1 IDE=1>trabajadores publicos</COREF> marchando. Solo un piño de vagos con un lienzo hablando de trabajo q no conocen,
14,,," @WendChile Cuales trabajadores. Si los de la ANEP no tienen idea lo que es trabajar.  Ahora si adoctrinar y malean a los <COREF CAD=1 IDE=1>funcionarios</COREF> que si hacen que el sistema funcione . Hay buenos <COREF CAD=1 IDE=2>funcionarios publicos</COREF> que hacen que las instituciones funcionen, pero definitivamente son los menos"
14,, @VictoriaHome5 Es lo políticamente correcto.O vas a Gobernar con los que atornillan al revés???,
14,,," @Jacquesole Asi es, pero la Presidenta Bachelet trabajo con todos ls q atornillaron al reves no hubo <COREF CAD=2 IDE=1>despidos masivos</COREF>...."
15, @biobio Está listo el <COREF CAD=1 IDE=1>cheque</COREF> para <COREF CAD=2 IDE=2>Piñera</COREF>: <COREF CAD=2 IDE=3>Presidente</COREF> podrá <COREF CAD=3 IDE=4>cobrarle</COREF> $2.5 <COREF CAD=4 IDE=5>millones</COREF> al <COREF CAD=5 IDE=6>diputado Gutiérrez</COREF> http://rbb.cl/jn3u ,,
15,," @jack_toto_herer Y nunca entregó los correos este delincuente, blanqueado por el corrupto fiscal guerra.",
15,,," @RodrigoFortino <COREF CAD=5 IDE=1>Gutierrez</COREF> en su demanda no mostro ninguna prueba.
Solo lo que salio en la prensa.
Defendiendo lo indefendible???"
15,," @rjimenezw Eso le pasa por acusar al boleo, por si cae algo, la falta de seriedad ha hecho que la credibilidad en sus acusaciones sea igual a nada. Ahora que pague...así funciona la cosa...y eso que es abogado...se acostumbró a casos fáciles y de poca monta...",
15,, @jschaulsohn <COREF CAD=2 IDE=1>SP</COREF> <COREF CAD=1 IDE=2>lo</COREF> mandara enmarcar y <COREF CAD=1 IDE=3>lo</COREF> colgará en su despacho de la Moneda/el Señor castiga pero no a palos/plop,
15,,," @fteuber Que <COREF CAD=1 IDE=1> lo</COREF> <COREF CAD=3 IDE=2>cobre</COREF> !!! Y entregue el <COREF CAD=4 IDE=3>dinero</COREF> a alguna institución del ejército... (donado a nombre del padre de este imbecil que después de darle el apellido , los abandono y nunca más los conoció ni visitó  )..."
15,, @luisvlopez1957 Bien que pague los 2 <COREF CAD=4 IDE=1>millones </COREF>y medio..por ponerse hablar huevadas...y que sea del bolsillo del <COREF CAD=5 IDE=2>diputado</COREF>...no de la dieta que todos los chilenos le pagamos....,
15,," @Ecortigle Que el.PC venda unos pocos inmuebles mas y le pasan la diferencia al <COREF CAD=5 IDE=1> gutierrez</COREF>. Ademas como buen comunacho, debe odiar lo material. Sabemos que ellos viven con lo justo, segun la doctrina que venden..",
15,, @rodrigomvasquez Y con razón merece el <COREF CAD=1 IDE=1>cheque</COREF> ya que el vago de <COREF CAD=5 IDE=2>Gutierrez</COREF> se posicionó en el congreso para fiscalizar exclusivamente a <COREF CAD=2 IDE=3>piñera</COREF> parece que no tiene claro su rol como <COREF CAD=5 IDE=4>parlamentario</COREF>,
15,, @MarcoVilIegas <COREF CAD=5 IDE=1>Ese </COREF>payaso nosotros le pagamos un sueldo para que solo haga estupideces ....que renuncie !,
15,,," @Ecortigle No se trata de que renuncien estos sacoeweas, sino, de que NO votemos por imbeciles como este. Pero las aweonadas votan por el candidato de la tele, ese el.del reality, y los aweonaos por la mina que bailaba en la tele.."
15,," @FireManBioBio Sería lindo pensar q con esto <COREF CAD=5 IDE=1>Gutiérrez</COREF> aprenderá... pero es difícil, este mono poto colorado con tal de figurar hace cualquier cosa",
16," @adnradiochile <COREF CAD=1 IDE=1>Caszely </COREF>y <COREF CAD=2 IDE=2>polémica </COREF>de <COREF CAD=3 IDE=3>Bravo </COREF>con <COREF CAD=4 IDE=4>la Roja</COREF>: ""Si <COREF CAD=1 IDE=5>yo fuera el <COREF CAD=5 IDE=6>técnico</COREF> no <COREF CAD=3 IDE=7>lo</COREF> <COREF CAD=6 IDE=8>llamo</COREF> más"" http://bit.ly/2Dze5w9 ",,
16,," @SergioVidaurre3 Mejor anota el penal, que <COREF CAD=3 IDE=1>Claudio</COREF> se ofreció solito a cancelar de <COREF CAD=3 IDE=2>su</COREF> propio bolsillo el sueldo de su preparador e incluso más viáticos eso no lo hace cualquiera, Grande <COREF CAD=3 IDE=3>Bravo</COREF>",
16,," @alfafer Menos mal que no <COREF CAD=1 IDE=1>eres</COREF> él <COREF CAD=5 IDE=2>técnico</COREF>,  grande <COREF CAD=3 IDE=3>Claudio</COREF>.",
